type,raw-type,words
동작,물리적,"부둥켜안다, 번쩍이다, 권하다, 쿨럭이다, 쏠다, 큰코다치다, 삐죽거리다, 쫓아내다, 시집가다, 노련하다, 질타받다, 짓누르다, 칭얼거리다, 쇠퇴하다, 뛰어나가다, 뛰어오다, 내보이다, 어줍다, 굽히다, 다가들다, 어지럽혀지다, 다리다, 찌푸리다, 메우다, 꾸짖다, 둘러싸다, 부둥키다, 농사짓다, 깁다, 패배하다, 우물거리다, 쫑긋하다, 바라보다, 스쳐보다, 휘청이다, 말짱하다, 둘러서다, 쥐어박다, 쏘이다, 붙잡히다, 쭈그리다, 뚫어지다, 얻어먹다, 맞먹다, 들여놓다, 훔치다, 넘어뜨리다, 노출하다, 쪼그리다, 파산하다, 날아들다, 서성거리다, 얼버무리다, 한눈팔다, 뒤척거리다, 자빠뜨리다, 옭아매다, 파헤치다, 썰다, 떠내려가다, 키득거리다, 힐끗거리다, 보살피다, 잡아내다, 껴안다, 떠나다, 만들다, 나오다, 찍다, 떨어트리다, 그리다, 토하다, 회피하다, 붙히다, 들썩거리다, 관두다, 읊다, 멈추다, 굽신거리다, 뒹굴거리다, 교류하다, 표류하다, 복종하다, 모이다, 풀리다, 빨다, 더럽히다, 밀어붙히다, 접다, 놀다, 탐색하다, 쪼그라들다, 쟁취하다, 쥐락펴락하다, 버리다, 보내다, 확보하다, 압수하다, 옮기다, 전염되다, 압축하다, 부딪히다, 깨지다, 벼르다, 마렵다, 긁다, 주다, 모방하다, 엮이다, 눕히다, 흐트러지다, 반발하다, 덮어놓다, 썩히다, 호명하다, 덮치다, 깨다, 날리다, 맞다, 만지다, 접촉하다, 터트리다, 거스르다, 낚다, 접히다, 박탈하다, 꿇리다, 꿈꾸다, 잡다, 바르다, 뺏기다, 부착하다, 엎다, 거르다, 묵히다, 넣다, 외우다, 강탈하다, 소문내다, 겨루다, 깜박이다, 배우다, 버둥거리다, 엮다, 취하다, 빠지다, 쏟다, 밟히다, 찾다, 눌리다, 쓰다, 떠오르다, 추다, 굴리다, 잃다, 패다, 먹다, 대피하다, 자숙하다, 퍼트리다, 보태다, 뻐근하다, 툴툴거리다, 싣다, 분주하다, 휘적거리다, 움츠리다, 비틀거리다, 택하다, 바쁘다, 낳다, 들락날락거리다, 헤치다, 부서지다, 뛰다, 삐끗하다, 밀치다, 나돌다, 찰랑거리다, 촐싹대다, 가로서다, 오르내리다, 투덜거리다, 쫓기다, 삼키다, 터지다, 엇갈리다, 흐르다, 웅얼거리다, 주다, 사다, 팽개치다, 짊어지다, 사귀다, 뒷받침하다, 쟁이다, 놓치다, 빼앗다, 추리다, 응원하다, 통기다, 갈무리하다, 잡아가다, 베끼다, 헤매다, 논의하다, 혼쭐나다, 꽂히다, 가물다, 변하다, 받다, 올리다, 본뜨다, 늘어서다, 다망하다, 가리어지다, 살랑대다, 바뀌다, 뭉치다, 올라오다, 닦달하다, 박수, 혹사하다, 훈계하다, 뭉개다, 헛소리하다, 분풀이하다, 괴롭히다, 우비다, 허기지다, 맹목적, 과장하다, 따내다, 손찌검, 일렁거리다, 매복하다, 구토하다, 꼽다, 둘러보다, 추천하다, 염탐하다, 색칠, 나오다, 버럭거리다, 웃음, 간파하다, 이어지다, 돌변하다, 착취하다, 바로잡다, 꼬드기다, 군림하다, 밀착하다, 거슬러오르다, 돌리다, 뜨다, 맺히다, 깨뜨리다, 꼬집다, 강화하다, 멸망하다, 앍다, 펼치다, 무디어지다, 찢다, 닿다, 치르다, 견디다, 박멸하다, 뽑다, 감기다, 트이다, 널리다, 번지다, 허덕거리다, 깔다, 수척하다, 얼빠지다, 비뚫어지다, 꾸부정하다, 수확, 빠뜨리다, 솟아오르다, 열람하다, 바느질하다, 안식, 역주행하다, 폭발하다, 유유상종하다, 뒷담화, 맞닥뜨리다, 단도직입하다, 독려하다, 등장하다, 단축하다, 경쟁하다, 헛구역질, 판단하다, 독점하다, 파견하다, 매수하다, 첨가하다, 낙찰하다, 누락하다, 발돋움하다, 화합하다, 복창, 연합하다, 부응하다, 표방하다, 과식하다, 만회하다, 교감하다, 탈색하다, 적립하다, 분열되다, 진술하다, 저축하다, 삿대질하다, 속박하다, 가르치다, 헛기침하다, 반복, 건강하다, 활동하다, 데려다주다, 벗어나다, 외면하다, 집어들다, 검색하다, 돌아가시다, 훔치다, 알아주다, 지나가다, 흥얼거리다, 잊혀지다, 이기다, 빠지다, 간직하다, 아끼다, 산책하다, 없어지다, 부탁하다, 지탱하다, 돌아가다, 붙잡다, 저지르다, 꺼내다, 숨쉬다, 만나다, 벌어지다, 화해하다, 악수하다, 흩날리다, 보내주다, 유행하다, 바라보다, 사라지다, 머무르다, 희미해지다, 이르다, 마시다, 앉아있다, 사과하다, 끊어지다, 공부하다, 노력하다, 실패하다, 날뛰다, 울고불고하다, 쏟아내다, 막히다, 몰아치다, 담겨있다, 끄덕이다, 무너지다, 고생하다, 낭비하다, 불어오다, 걷다, 떠나다, 쏟다, 떨리다, 얽히다, 걷다, 비비다, 도착하다, 따라하다, 그만하다, 불러일으키다, 유지하다, 마중나가다, 잠들다, 흩어지다, 모자라다, 후벼파다, 차오르다, 내뱉다, 스며들다, 헤어지다, 비판하다, 훼손하다, 기대다, 기다리다, 안아주다, 지우다, 금지하다, 서두르다, 어긋나다, 지키다, 뒷걸음치다, 집중시키다, 구입하다, 보채다, 떠돌다, 통보하다, 번역하다, 설치다, 감싸주다, 걸터앉다, 홍보하다, 덮다, 성공하다, 호강하다, 털어내다, 피다, 운전하다, 수정하다, 초월하다, 답장하다, 미어지다, 교체하다, 조절하다, 소화하다, 데뷔하다, 휩쓸다, 절규하다, 태어나다, 목격하다, 증명하다, 방치하다, 밝혀지다, 부활하다, 오열하다, 출시되다, 구성되다, 마주치다, 망가지다, 힘나다, 관통하다, 젖다, 물어보다, 외치다, 기절하다, 저물어가다, 연설하다, 흐느적거리다, 죽다, 부르짖다, 전율, 싸우다, 완치되다, 흥행하다, 쏟아지다, 돌려주다, 너스레, 시작하다, 치유하다, 저장하다, 스치다, 날아다니다, 따라오다, 따르다, 쫓다, 탐구하다, 흐물거리다, 움직이다, 들다, 맞추다, 방해하다, 눕다, 다가오다, 끊다, 전하다, 남다, 작동하다, 채우다, 불다, 나서다, 섞다, 말하다, 표시하다, 표출하다, 트다, 털다, 타다, 밀다, 일어나다, 찾아지다, 넘치다, 모으다, 가지다, 끌다, 녹다, 느끼다, 도망치다, 담다, 드러나다, 받치다, 찢어지다, 이루다, 위하다, 알리다, 살리다, 살다, 높이다, 찌르다, 맡다, 이글거리다"
동작,물리적,"자극시키다, 부풀리다, 두들기다, 사그라들다, 튕기다, 틀어놓다, 쳐보다, 흥얼거리다, 창작하다, 부르다, 지르다, 켜다, 폭발하다, 고조시키다, 표현하다, 쉬다, 웅장해지다, 감미롭다, 연주하다, 열창하다, 전달하다, 울리다, 증폭시키다, 녹음하다, 감상하다, 합창하다, 조절하다, 유발하다, 묘사하다, 연주되다, 튀다, 깔리다, 지르다, 때리다, 치다, 틀다, 끄다, 전달되다"
동작,심적,"방자하다, 인색하다, 순박하다, 벙벙하다, 간사하다, 대범하다, 마지못하다, 부러워하다, 공감하다, 잊히다, 생각나다, 헷갈리다, 어지럽다, 뻣뻣하다, 성실하다, 순응하다, 우습다, 혼동하다, 전전긍긍, 원만하다, 우러나오다, 학수고대하다, 나긋하다, 섣부르다, 능글맞다, 격려하다, 오지다, 성급하다, 방심하다, 박약하다, 비굴하다, 꺼림칙하다, 유약하다, 비열하다, 치밀하다, 파렴치하다, 어리숙하다, 집요하다, 졸렬하다, 유머러스하다, 도도하다, 예리하다, 순하다, 근엄하다 ,활발하다, 용맹하다, 미치다, 비겁하다, 탈진하다, 편하다, 기겁하다, 완곡하다, 우직하다, 방탕하다, 실성하다, 기고만장하다, 혼미하다, 억세다, 결연하다, 모르다, 알다, 겸손하다, 해탈하다, 다정다감하다, 과묵하다, 여유만만, 팔팔하다, 구차하다, 친절하다, 잔인하다, 순둥순둥하다, 대차다, 꼿꼿하다, 솔직하다, 냉혹하다, 야물다, 배은망덕하다, 불손하다, 시시콜콜, 평탄하다, 혹독하다, 정정당당, 당기다, 저릿하다, 까탈스럽다, 착실하다, 안이하다, 안일하다, 여리다, 극성, 느슨하다, 지조, 냉혈, 심술, 엉터리, 열렬하다, 탐욕스럽다, 질리다, 이해하다, 친하다, 사무치다, 익숙해지다, 지치다, 순수하다, 신경쓰이다 ,멍하다, 자책하다, 반하다, 철없다, 몰입하다, 천진난만하다, 단념하다, 깨닫다, 나약하다, 무기력하다, 무모하다, 잊다, 믿다, 명랑하다, 덤덤하다, 죽고싶다, 체념하다, 용서하다, 소홀하다, 무심하다, 매료되다, 곱씹다, 참다, 원하다, 거슬리다, 당당하다, 불편하다, 기대하다, 상상하다, 실감나다, 심취하다, 샘솟다, 고심하다, 결심하다, 짜릿하다, 정직하다, 간절하다, 바라다, 뻔뻔하다, 짖궂다, 심심하다, 추측하다"
속성,존재,"묵직하다, 크나크다, 빈약하다, 가녀리다, 튼튼하다, 가볍다, 무겁다, 둔중하다, 처지다"
속성,존재,"풍만하다, 다분하다, 그득하다, 많다, 가득하다, 포화, 소복하다, 무수히, 유일하다, 충만하다, 풍부하다, 적다"
속성,평가,"명료하다, 용이하다, 명쾌하다, 예스럽다, 유창하다, 열악하다, 별로, 괜찮다, 유용하다, 대박, 최고, 레전드, 천만다행, 간소하다, 드라마틱하다, 뚜렷하다, 어정쩡하다, 애매모호하다, 저명하다, 앳되다, 귀중하다, 정성스럽다, 만만하다, 믿음직하다, 어련하다, 교묘하다, 음란하다, 섹시하다, 심심찮다, 헛되다, 얄궂다, 불분명하다, 뜸하다, 완벽하다, 닮다, 각별하다, 무익하다, 무책임하다, 허무맹랑하다, 참신하다, 음탕하다, 확실하다, 이상하다, 신선하다, 덧없다, 엄청나다, 흔하다, 소중하다, 대단하다, 새롭다, 지독하다, 치열하다, 찬란하다, 성숙하다, 초라하다, 풋풋하다, 사랑스럽다, 한심하다, 생소하다, 생생하다, 최선, 색다르다, 처절하다, 짙다, 희한하다, 찌질하다, 선명하다, 애매하다, 특별하다, 희미하다, 낫다, 아깝다, 섬세하다, 아득하다, 어설프다, 서투르다, 뻔하다, 강렬하다, 화창하다, 사소하다, 번번하다, 꾀죄죄하다, 허름하다, 추레하다. 부실하다, 신기하다, 어색하다, 척박하다, 트렌디하다, 신속하다, 재빠르다, 잽싸다, 애잔하다"
속성,평가,"곱상하다, 아리땁다, 곱다, 아름답다, 예쁘다, 잘생기다, 단정하다, 세련되다, 깨끗하다, 청결하다, 젊다, 깔끔하다, 늙다, 귀엽다, 화려하다, 멋지다, 촌스럽다, 어리다, 싱그럽다, 빛나다, 맑다, 징그럽다, 끔찍하다, 밋밋하다, 고급스럽다, 매력적이다, 깔끔하다, 이쁘다, 무난하다, 우아하다"
속성,평가,"불평등하다, 공평하다, 월등하다, 평등하다, 균등하다, 유리하다, 치우치다, 판이하다, 특출하다, 빠듯하다, 묽다, 엔간하다, 다르다, 적당하다, 불공평하다, 비슷하다, 부족하다, 최우수, 똑같다, 비스무리, 견주다, 불공정하다, 흡사하다, 같다, 적절하다, 낫다, 비하다, 과하다, 상대적"
속성,평가,"그릇되다, 틀리다, 틀려먹다, 부적절하다, 적합하다, 부적합, 맞다, 아니다"
속성,평가,"쉽다, 손쉽다, 어렵다, 험난하다, 단순하다, 복잡하다"
